slno	concept_id	concepticon_id	concepticon_name	name	gloss	concept	stage	comment	category	definition	japanese	hindi	assamese	mandarin	burmese	nagamese	SILCAWL	CALMSEA
603	0040.:forty	1716	FORTY	forty	forty	ꜰᴏʀᴛʏ	5		numbers	The number that comes after thirty and before fifty.	四十			四十	လေးဆယ်		forty (40)	
590	0050.:fifty	1717	FIFTY	fifty	fifty	ꜰɪꜰᴛʏ	5		numbers	The number that comes after forty-nine and before fifty-one.	五十			五十	ငါးဆယ်		fifty (50)	
157	0100.:hundred	1634	HUNDRED	hundred	hundred	ʜᴜɴᴅʀᴇᴅ	3		numbers	The number that comes after ninety-nine and before one hundred and one.	百	सौ	শত	百	တစ်ရာ		hundred (persons)	hundred
982	0200.:two.hundred	2676	TWO HUNDRED	two hundred	two.hundred	ᴛᴡᴏ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that is equal to one hundred multiplied by two.	二百			二百			two hundred (200)	
780	0300.:three.hundred	3513	THREE HUNDRED	three hundred	three.hundred	ᴛʜʀᴇᴇ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that is equal to three times one hundred.	三百			三百				
604	0400.:four.hundred	3515	FOUR HUNDRED	four hundred	four.hundred	ꜰᴏᴜʀ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that represents the product of four and one hundred.	四百			四百				
595	0500.:five.hundred	3516	FIVE HUNDRED	five hundred	five.hundred	ꜰɪᴠᴇ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that represents five groups of one hundred.	五百			五百			five hundred (500)	
31	1.du	2634	WE TWO	1 du	1.du	1.ᴅᴜ	2		pronouns	The speaker and one other person.	二人			我們兩人				
506	1.du.excl	2636	WE TWO (EXCLUSIVE)	1 du excl	1.du.excl	1.ᴅᴜ.ᴇxᴄʟ	5		pronouns	The speaker and one other person, but not the person being spoken to.	我ら			我們兩人（不含聽話人）				
507	1.du.incl	2637	WE TWO (INCLUSIVE)	1 du incl	1.du.incl	1.ᴅᴜ.ɪɴᴄʟ	5		pronouns	A group of people that includes the speaker and one or more other people.	私たち二人（相手を含む）			我們兩人（含聽話人）				
32	1.n.sg.excl	1130	WE (EXCLUSIVE)	1 n sg excl	1.n.sg.excl	1.ɴ.ꜱɢ.ᴇxᴄʟ	2		pronouns	The speaker and one other person, but not the person being spoken to.	私たち（相手を含まない）			我們（不含聽話人）	ကျွန်တော်တို့ (သင်မပါဘဲ)			
33	1.n.sg.incl	1131	WE (INCLUSIVE)	1 n sg incl	1.n.sg.incl	1.ɴ.ꜱɢ.ɪɴᴄʟ	2		pronouns	A group of people that includes the speaker and one or more other people.	私たち（相手を含む）			我們（含聽話人）	ကျွန်တော်တို့ (သင်လည်းပါ)			
34	1.sg	1209	I	1 sg	1.sg	1.ꜱɢ	2		pronouns	The person who is speaking.	わたし			我			I (1s)	I
221	1000.:thousand	1843	THOUSAND	thousand	thousand	ᴛʜᴏᴜꜱᴀɴᴅ	3		numbers	The number 1,000.	千	हजार	হাজাৰ	千	တစ်ထောင်		thousand (persons)	
35	2.n.sg	1213	YOU	2 n sg	2.n.sg	2.ɴ.ꜱɢ	2		pronouns	The person or people being spoken to.	おまえたち			你們	သင်တို့		you (2p)	
36	2.sg	1215	THOU	2 sg	2.sg	2.ꜱɢ	2		pronouns	A person being spoken to, who is not the speaker.	おまえ			你			you (2s)	thou
37	3.n.sg	817	THEY	3 n sg	3.n.sg	3.ɴ.ꜱɢ	2		pronouns	A group of people or things that does not include the speaker or the listener.	彼ら，彼女ら			他們	သူတို့		they (3p)	
38	3.sg	262	HE OR SHE OR IT	3 sg	3.sg	3.ꜱɢ	2		pronouns	A person or thing that is not the speaker or the listener.	彼，彼女			他／她				
229	above:to.be	1741	ABOVE	to be above	above	ᴀʙᴏᴠᴇ	3			To be in a higher position or at a higher level than something else, without necessarily touching it.	上にある	ऊपर	উপৰ	上面	အထက်တွင်ရှိသည်		over, above	
101	accipitridae..raptor:::	2683	EAGLE OR HAWK	Accipitridae (raptor)	raptor	ʀᴀᴘᴛᴏʀ	3		fauna	A bird of prey with large, strong wings and a hooked beak, used for hunting other animals.	鷹	चील		鷹	သိမ်းငှက်			
508	adolescent	–	–	adolescent	adolescent	ᴀᴅᴏʟᴇꜱᴄᴇɴᴛ	5			A person who is in the stage of development between childhood and adulthood.	思春期の人	किशोरावस्था		青少年的	ဆယ်ကျော်သက်			
790	afraid:to.be			to be afraid	afraid	ᴀꜰʀᴀɪᴅ	5			To experience a feeling of fear, alarm, or anxiety in response to a perceived danger or threat.	怖がる			害怕				
356	afternoon	1807	AFTERNOON	afternoon	afternoon	ᴀꜰᴛᴇʀɴᴏᴏɴ	4			The period of time from midday until the sun begins to set or evening begins.	午後	दोपहर	বিলাস	下午	နေ့လည်		afternoon	
783	age..grow.old:to	–	–	to age (grow old)	age	ᴀɢᴇ	5			To undergo the natural process of growing older or becoming an elderly person.	年をとる	बूढ़ा होना		變老	အိုသည်			
509	age..of.person	1789	AGE	age (of person)	age	ᴀɢᴇ	5			The number of years a person has lived from their birth until the present time.	年齢	उम्र	বয়স	年齡	အသက်အရွယ်			
510	age..of.thing			age (of thing)	age	ᴀɢᴇ	5			The length of time that an object or living thing has existed.	寿命			年歲	သက်တမ်း			
45	alcohol:brewed	404	ALCOHOL (FERMENTED DRINK)	brewed alcohol	brewed.alcohol	ʙʀᴇᴡᴇᴅ.ᴀʟᴄᴏʜᴏʟ	2			A liquid drink produced by the fermentation of grains, fruit, or sugar.	醸造酒	सुराही दार शराब	জলকীয় দ্রব	釀造酒	အချဉ်ဖောက်အရက်			
121	alcohol:distilled	842	LIQUOR	distilled alcohol	distilled.alcohol	ᴅɪꜱᴛɪʟʟᴇᴅ.ᴀʟᴄᴏʜᴏʟ	3			A liquid produced through a process of heating and cooling, often used as a strong alcoholic drink.	蒸留酒	अर्क	মদ	蒸餾酒	ပေါင်းခံအရက်			liquor
230	alive:to.be	1422	BE ALIVE	to be alive	alive	ᴀʟɪᴠᴇ	3			To possess life; to not be dead.	生きている	जीवित	জিৱন থাকিব	活着	အသက်ရှင်သည်		(be) alive	alive
511	all	98	ALL	all	all	ᴀʟʟ	5			The entire amount or every single member of a group or collection.	全部	सब	সমগ্ৰ	所有	အားလုံး		everything	
357	amber	–	–	amber	amber	ᴀᴍʙᴇʀ	4			A hard, yellowish-brown fossilized resin from a tree that is often used as a gemstone or ornament.	琥珀	अंबर	বাঁশফুলীয়া	琥珀	ပယင်း			
512	ancestors..general	1669	ANCESTORS	ancestors (general)	ancestors	ᴀɴᴄᴇꜱᴛᴏʀꜱ	5			The people in a person's family line who lived in the past, especially those who are now deceased.	先祖	पूर्वज	পূৰ্বজ	歷代祖先	ဘိုးဘေး			
438	angry:to.be	1826	ANGRY	to be angry	angry	ᴀɴɢʀʏ	4			To feel strong displeasure, hostility, or irritation toward a person or a situation.	怒る	गुस्सा	ৰাগী	生氣	စိတ်ဆိုးသည်		to be angry	
587	animal..affix:female	3923	FEMALE ANIMAL	female animal (affix)	female.animal	ꜰᴇᴍᴀʟᴇ.ᴀɴɪᴍᴀʟ	5			A female of any species of animal.	雌（接辞）	मादा		女性	အမ			
653	animal..affix:male	3924	MALE ANIMAL	male animal (affix)	male.animal	ᴍᴀʟᴇ.ᴀɴɪᴍᴀʟ	5			A non-female animal of the same species.	雄（接辞）			雄性（動物詞綴）				
102	animal..general	619	ANIMAL	animal (general)	animal	ᴀɴɪᴍᴀʟ	3		fauna	A living creature that is not a human or a plant.	動物	जानवर	পশু	動物	တိရစ္ဆာန်		animal (tame/wild)	meat/animal
920	answer.:respond:to	1275	ANSWER	to respond	respond	ʀᴇꜱᴘᴏɴᴅ	5			To give a spoken or written reply to a question, a statement, or a call.	応じる			回應				
784	answer..question:to	1275	ANSWER	to answer (question)	answer	ᴀɴꜱᴡᴇʀ	5			To provide a spoken or written response to a question or a statement.	答える	जवाब देना	উত্তৰ দিব	回答（問題）	ဖြေသည်			
513	ant::hill	1873	ANTHILL	anthill	anthill	ᴀɴᴛʜɪʟʟ	5			A mound of earth or sand constructed by a colony of social insects, such as ants.	蟻塚	चींटी का ढेर	হুঁটুলঘৰ	蟻丘	ပုရွက်ဆိတ်ကုန်း			
220	ant.:termite	883	TERMITE	termite	termite	ᴛᴇʀᴍɪᴛᴇ	3		fauna	A small, social insect that eats wood and can damage buildings or trees.	シロアリ	दीमक	হুঁটুল	白蟻	ခြကောင်		termite	
39	ant..general	587	ANT	ant (general)	ant	ᴀɴᴛ	2			A small insect that lives in a colony or nest, often working together to move food.	蟻	चींटी	পিঁপিলিকা	螞蟻	ပုရွက်ဆိတ်		ant	ant
791	anxious:to.be	3869	ANXIOUS	to be anxious	anxious	ᴀɴxɪᴏᴜꜱ	5			To feel nervous, worried, or uneasy about something that might happen.	不安になる	चिंतित होना	উদাসীন থাকিব	焦慮	စိတ်ပူသည်			
785	apologise:to	–	–	to apologise	apologise	ᴀᴘᴏʟᴏɢɪꜱᴇ	5			To express regret or ask for forgiveness after doing something wrong or causing offense.	謝る	माफ़ करना		對不起	တောင်းပန်သည်			
786	appear:to	–	–	to appear	appear	ᴀᴘᴘᴇᴀʀ	5			To become visible or to come into sight from a state of being hidden or absent.	現れる	दिखाई देना	দৃষ্টা পোৱা	出現	ပေါ်လာသည်			
514	area.under.house	2632	AREA UNDER HOUSE	area under house	area.under.house	ᴀʀᴇᴀ.ᴜɴᴅᴇʀ.ʜᴏᴜꜱᴇ	5			The ground or floor space located directly beneath a building or dwelling.	床下			屋下空間	အိမ်အောက်		area under house	
515	areca.nut	217	BETELNUT	areca nut	areca.nut	ᴀʀᴇᴄᴀ.ɴᴜᴛ	5	Concepticon has both BETEL NUTE and BETELNUT. This is marked as absent in Concepticon since betel is a different species, and the inconsistent labels in Concepticon create ambiguity.	flora	The seed of the Areca palm, often chewed with lime or betel leaf.	キンマ	सुपारी	তামুল	檳榔	ကွမ်းသီး			
359	arm::pit	1886	ARMPIT	armpit	armpit	ᴀʀᴍᴘɪᴛ	4		body parts	The area of the body located under the upper part of the arm where it joins the shoulder and the torso.	わきの下	बगल	কখেলা	腋窩	ချိုင်း		armpit	
984	arm:upper	431	UPPER ARM	upper arm	upper.arm	ᴜᴘᴘᴇʀ.ᴀʀᴍ	5		body parts	The part of the limb between the shoulder and the elbow.	上腕	बांह की ऊपरी हिस्सा	ভুজা	上臂	လက်မောင်းရင်း			
393	arm.:elbow	981	ELBOW	elbow	elbow	ᴇʟʙᴏᴡ	4		body parts	The joint in the middle of the arm that allows it to bend and straighten.	ひじ	कोहनी	কুহুনি	肘部	တံတောင်ဆစ်		elbow	
635	arm.:elbow:inner	–	–	inner elbow	inner.elbow	ɪɴɴᴇʀ.ᴇʟʙᴏᴡ	5		body parts	The part of the arm located on the inside of the joint between the upper arm and the forearm.	肘の窪み	कोहनी का अंदरूंग		肘窩	တံတောင်ဆစ်အတွင်းဘက်			
602	arm.:forearm	–	–	forearm	forearm	ꜰᴏʀᴇᴀʀᴍ	5		body parts	The part of the arm between the elbow and the wrist.	前腕	कलाई	কলাই	前臂	လက်ဖျံ			
431	arm.:shoulder	1482	SHOULDER	shoulder	shoulder	ꜱʜᴏᴜʟᴅᴇʀ	4		body parts	The part of the body where the arm connects to the torso.	肩	कंधा		肩膀	ပခုံး		shoulder	
505	arm.:wrist	799	WRIST	wrist	wrist	ᴡʀɪꜱᴛ	4		body parts	The part of the arm that connects the hand to the rest of the limb.	手首	कलाई का जोड़ा	কলাই	手腕	လက်ကောက်ဝတ်		wrist	
1	arm..upper.limb	2121	ARM OR HAND	arm (upper limb)	arm	ᴀʀᴍ	1		body parts	The entire upper limb of the human body, extending from the shoulder to the wrist.	腕	बांह	বাঁহ	手臂	လက်မောင်း			hand/arm
787	arrive:to	1387	ARRIVE	to arrive	arrive	ᴀʀʀɪᴠᴇ	5			To reach a destination or a specific place after traveling or moving.	着く	पहुंचना	আহা	到達	ရောက်လာသည်		arrive	
104	arrow	977	ARROW	arrow	arrow	ᴀʀʀᴏᴡ	3			A long, thin, pointed object that is shot through the air from a bow.	矢	तीर	বাণ	箭頭	မြား		head of arrow	arrow
226	ascend..move.up:to	705	GO UP (ASCEND)	to ascend (move up)	ascend	ᴀꜱᴄᴇɴᴅ	3			To move from a lower position to a higher one.	のぼる	चढ़ना		上升	တက်သွားသည်		ascend, go up	climb, ascend
40	ash	646	ASH	ash	ash	ᴀꜱʜ	2			The powdery residue left after a substance, such as wood or coal, has been burned.	灰	राख	বলি	灰燼	ပြာ			ashes
516	ash..bamboo	–	–	ash (bamboo)	ash	ᴀꜱʜ	5			The powdery substance left behind after a plant or piece of wood has been burned.	竹の灰			竹灰				
231	ashamed:to.be	1894	ASHAMED	to be ashamed	ashamed	ᴀꜱʜᴀᴍᴇᴅ	3			To feel a sense of guilt, embarrassment, or loss of face due to one's own actions or a social mistake.	恥じる			羞愧				ashamed
788	ask..question:to	1309	ASK (INQUIRE)	to ask (question)	ask	ᴀꜱᴋ	5			To express a desire for information or to seek an answer to a specific query.	黙る	पूछना	জানাইছো	請求	မေးသည်			
227	awaken:to	1602	WAKE UP	to awaken	awaken	ᴀᴡᴀᴋᴇɴ	3			To stop sleeping and become conscious or alert.	目覚める	जागना	জাগা	醒來	နိုးသည်		wake up (intr)	awaken
105	axe..general	677	AXE	axe (general)	axe	ᴀxᴇ	3			A tool with a heavy metal blade used for chopping wood or splitting logs.	斧	कुल्हाड़ी	ফাঁস	斧頭	ပုဆိန်		axe	
360	back..of.body	1291	BACK	back (of body)	back	ʙᴀᴄᴋ	4		body parts	The posterior part of the human torso, extending from the neck to the waist.	背中	पीठ	পিছলৈ	背部	ကျောပြင်		back	
517	back..side.of.something	2323	BACK (PART)	back (side of something)	back	ʙᴀᴄᴋ	5			The side of a person or an object that is opposite the front.	後			背面	ကျောဘက်		back (of something)	
439	bad:to.be	1292	BAD	to be bad	bad	ʙᴀᴅ	4			To be of poor quality, unpleasant, or not good.	悪い	बुरा होना	খৰাপ	不好	ဆိုးသည်		to be bad	
361	bag	2468	BAG	bag	bag	ʙᴀɢ	4			A container made of flexible material, such as cloth, leather, or plastic, used for carrying or storing things.	袋	थैला	থলতী	包	အိတ်		bag	
792	bald:to.be	1125	BALD	to be bald	bald	ʙᴀʟᴅ	5			To have little or no hair on the head.	禿頭	गंजा होना	উলোহ	禿頭	ခေါင်းပြောင်သည်		bald	
41	bamboo	1927	BAMBOO	bamboo	bamboo	ʙᴀᴍʙᴏᴏ	2		flora	A tall, woody grass that grows in thick clumps and has hollow stems.	竹	बांस	ভেতি	竹子	ဝါး		bamboo plant (large)	bamboo
106	bamboo.shoot	2494	BAMBOO SHOOT	bamboo shoot	bamboo.shoot	ʙᴀᴍʙᴏᴏ.ꜱʜᴏᴏᴛ	3		flora	A young, edible part of a bamboo plant that grows above the ground.	竹の子	बांस की खोखली	কাজি কেচেক	竹筍	မျှစ်		bamboo shoot (edible)	
520	bamboo.skin	–	–	bamboo skin	bamboo.skin	ʙᴀᴍʙᴏᴏ.ꜱᴋɪɴ	5		flora	The outer, hard covering of a bamboo stalk.	竹皮	बांस की छाल	ভেতি তামুল	竹皮	ဝါးအခွံ			
521	bamboo.strip	–	–	bamboo strip	bamboo.strip	ʙᴀᴍʙᴏᴏ.ꜱᴛʀɪᴘ	5		flora	A thin, flat piece of a woody plant stem used for writing, weaving, or construction.	竹片	बांस की पट्टी		竹片	ဝါးခြမ်း			
522	bamboo.tube	–	–	bamboo tube	bamboo.tube	ʙᴀᴍʙᴏᴏ.ᴛᴜʙᴇ	5		flora	A hollow, cylindrical section of a woody plant used as a container or tool.	竹筒	बांस का छलनी	বাঁহৰ নলী	竹筒	ဝါးပြွန်			
107	banana..fruit	868	BANANA	banana (fruit)	banana	ʙᴀɴᴀɴᴀ	3		flora	A long, soft fruit with a thick skin that is typically yellow when ripe and grows on a large herb-like plant.	バナナ	केला	কল	香蕉	ငှက်ပျောသီး		banana (fruit)	plantain/banana
362	banana.tree	1795	BANANA TREE	banana tree	banana.tree	ʙᴀɴᴀɴᴀ.ᴛʀᴇᴇ	4		flora	The large, herbaceous plant with long, wide leaves that produces edible fruit.	バナナの木			香蕉樹				
108	banyan..tree	346	BANYAN	banyan (tree)	banyan	ʙᴀɴʏᴀɴ	3		flora	A large tree that grows many roots from its branches down into the ground to form a new trunk.	ガジュマル	बरगद		榕樹	ညောင်ပင်			
148	barbet:great	–	–	great barbet	great.barbet	ɢʀᴇᴀᴛ.ʙᴀʀʙᴇᴛ	3			A large, colorful tropical bird with a thick, fleshy beak and a prominent head, often seen in forested areas.	オオゴシキツグミ			大鸚哥				
789	bark..dog:to	1206	BARKING	to bark (dog)	bark	ʙᴀʀᴋ	5			To make the loud, sharp sound that a dog makes.	吠える	भौंकना		狗叫	ဟောင်သည်			
593	basket:firewood	–	–	firewood basket	firewood.basket	ꜰɪʀᴇᴡᴏᴏᴅ.ʙᴀꜱᴋᴇᴛ	5		artefacts	A container used for collecting and carrying pieces of wood for making a fire.	薪入れ			柴籃				
718	basket:rice	–	–	rice basket	rice.basket	ʀɪᴄᴇ.ʙᴀꜱᴋᴇᴛ	5	cf Mossang kən₂lɨŋ₂ smallest basket	artefacts	A container made of woven material used for holding or storing grains.	米籠			米籃				
747	basket:small	–	–	small basket	small.basket	ꜱᴍᴀʟʟ.ʙᴀꜱᴋᴇᴛ	5		artefacts	A small container made of woven plant material used for carrying or storing items.	小籠			小籃子				
109	basket..general	1539	BASKET	basket (general)	basket	ʙᴀꜱᴋᴇᴛ	3	cf Chang _kam_	artefacts	A container made of woven plant materials, such as wood, bamboo, or cane, used for carrying or storing things.	籠			籃子	တောင်း		basket	
42	bat..animal	1793	BAT	bat (animal)	bat	ʙᴀᴛ	2		fauna	A nocturnal flying mammal with wings formed by skin stretched between its fingers.	蝙蝠	चमगादड़		蝙蝠	လင်းနို့		bat	
524	beak..bill	73	BEAK	beak (bill)	beak	ʙᴇᴀᴋ	5		body parts	The hard, pointed mouth part of a bird used for eating or grasping.	くちばし	चोंच		鳥嘴	နှုတ်သီး		beak, bill	
525	beam..rafter	1132	BEAM	beam (rafter)	beam	ʙᴇᴀᴍ	5			A long, thick piece of wood or metal that is fixed horizontally across a structure to support the weight of a roof or floor.	梁	खंभा		房梁	ရက်မ		beam, rafter	
110	bean..general	832	BEAN	bean (general)	bean	ʙᴇᴀɴ	3			A seed of a plant from the legume family, often used as food.	豆			豆子	ပဲ			peas, beans
111	bear..animal	1820	BEAR	bear (animal)	bear	ʙᴇᴀʀ	3			A large, heavy mammal with thick fur and strong limbs, often found in forests and known for eating honey or plants.	熊	भालू		熊	ဝက်ဝံ		bear	bear
838	bear..fruit:to	3054	BEAR FRUIT	to bear (fruit)	bear	ʙᴇᴀʀ	5			To produce or yield fruit from a plant or tree.	実を結ぶ			結果實				
526	beard	678	BEARD	beard	beard	ʙᴇᴀʀᴅ	5		body parts	The hair that grows on the chin and cheeks of a man's face.	髭	दाढ़ी		鬍鬚（下巴）	မုတ်ဆိတ်မွေး		beard	
839	beat..someone:to	1665	BEAT	to beat (someone)	beat	ʙᴇᴀᴛ	5			To strike a person or animal repeatedly with a hand or an object as a form of punishment or violence.	殴る			毆打	ရိုက်သည်		to hit/beat (with force)	
363	bed	1663	BED	bed	bed	ʙᴇᴅ	4			A piece of furniture used for sleeping or resting on.	寝台	बिस्तर		牀	အိပ်ရာ			
364	bee::hive	88	BEEHIVE	beehive	beehive	ʙᴇᴇʜɪᴠᴇ	4		fauna	The structure built by bees to live in and store honey.	蜂の巣			蜂巢	ပျားအုံ		beehive	
2	bee..general	665	BEE	bee (general)	bee	ʙᴇᴇ	1		fauna	A flying insect that produces honey and lives in a colony or hive.	蜂	मधुमक्खी		蜜蜂	ပျား		bee	bee
527	bee.colony	–	–	bee colony	bee.colony	ʙᴇᴇ.ᴄᴏʟᴏɴʏ	5		fauna	A large group of social insects that live together in a single nest or hive.	ミツバチの群れ	मधुमक्खी का छत्ता		蜂窩	ပျားအုပ်စု			
459	beg:to	3534	BEG	to beg	beg	ʙᴇɢ	4			To ask for something, such as money, food, or help, from others because of a need or poverty.	乞う	भिख मांगना		乞討	တောင်းရမ်းသည်		beg (for money)	
793	behind..something:to.be	1686	BEHIND	to be behind (something)	behind	ʙᴇʜɪɴᴅ	5			To be located at the back of an object or person, rather than in front of it.	……の後ろにある	पीछे		後面	နောက်တွင်ရှိသည်		behind	
112	belly..exterior	1251	BELLY	belly (exterior)	belly	ʙᴇʟʟʏ	3		body parts	The front part of the body between the chest and the groin.	腹	पेट		腹部	ဗိုက်		belly	belly (exterior)
440	below..under:to.be	1485	BELOW OR UNDER	to be below (under)	below	ʙᴇʟᴏᴡ	4			To be at a lower level or position than something else, such as being underneath an object or at the bottom of a surface.	下にある	नीचे		下面	အောက်တွင်ရှိသည်			
232	big:to.be	1202	BIG	to be big	big	ʙɪɢ	3			To have a large size or great physical dimensions.	大きい	बड़ा		大	ကြီးသည်		to be big	
840	bind..hands:to	1917	TIE	to bind (hands)	bind	ʙɪɴᴅ	5			To secure or fasten a person's hands together using a rope, cord, or similar object so that they cannot move freely.	手を縛る	बाँधना		捆綁	ချည်နှောင်သည်		to tie (something)	
43	bird..general.term	937	BIRD	bird (general term)	bird	ʙɪʀᴅ	2		fauna	A warm-blooded vertebrate animal that has feathers and wings, and typically lays eggs.	鳥	पक्षी		鳥	ငှက်		bird	bird
274	bite:to	1403	BITE	to bite	bite	ʙɪᴛᴇ	3			To use the teeth to cut into or grip something.	かみつく	काटना		咬	ကိုက်သည်			bite
233	bitter:to.be	887	BITTER	to be bitter	bitter	ʙɪᴛᴛᴇʀ	3			To have a sharp, unpleasant taste on the tongue, such as the taste of unsweetened coffee or certain medicinal plants.	苦い	कड़वा		苦	ခါးသည်		to be bitter	bitter
530	blanket	806	BLANKET	blanket	blanket	ʙʟᴀɴᴋᴇᴛ	5			A large piece of cloth or material used as a covering for warmth while sleeping or resting.	毛布	रजाई		毛毯	စောင်		blanket	
794	blind:to.be	1653	BLIND	to be blind	blind	ʙʟɪɴᴅ	5			To be unable to see due to a physical condition or injury.	目が見えない	अंधा होना		失明	မျက်မမြင်ဖြစ်သည်		to be blind	
531	blister	1584	BLISTER	blister	blister	ʙʟɪꜱᴛᴇʀ	5			A small bubble on the skin filled with fluid, caused by friction, heat, or a burn.	水ぶくれ			水泡	ရည်ကြည်ဖု			
841	block..obstruct:to	2762	BLOCK (THE WAY)	to block (obstruct)	block	ʙʟᴏᴄᴋ	5			To place an object or a barrier in a passage or opening so that movement or passage is prevented.	塞ぐ	रोकना		阻止	ပိတ်ဆို့သည်		obstruct	
3	blood	946	BLOOD	blood	blood	ʙʟᴏᴏᴅ	1		body parts	The red liquid that flows through the veins and arteries of a human or animal body.	血	रक्त		血液	သွေး		blood	blood
275	bloom:to	3287	BLOOM	to bloom	bloom	ʙʟᴏᴏᴍ	3		flora	To produce flowers on a stem or plant.	咲く	खिलना		開花	ပန်းပွင့်သည်		(be) open [blossom]	
460	blow..wind:to	175	BLOW (OF WIND)	to blow (wind)	blow	ʙʟᴏᴡ	4			To move through the air as a current of air, causing things to move or making a sound.	風が吹く	उड़ाना		颳（風吹）	လေတိုက်သည်		blow (of wind) (v)	
276	blow..with.mouth:to	176	BLOW (WITH MOUTH)	to blow (with mouth)	blow	ʙʟᴏᴡ	3			To move air out of the mouth using the lips and tongue.	息を吹く	उड़ाना		吹（用嘴）	မှုတ်သည်		blow (horn)	blow
