slno	concept_id	concepticon_id	concepticon_name	name	gloss	concept	stage	comment	category	definition	japanese	hindi	assamese	mandarin	burmese	nagamese	SILCAWL	CALMSEA
1127	0022.:twenty.two	3166	TWENTY TWO	twenty two	twenty.two	ᴛᴡᴇɴᴛʏ.ᴛᴡᴏ	6			The number that is one more than twenty-one and one less than twenty-three.	二十二			二十二				
1126	0023.:twenty.three	3165	TWENTY THREE	twenty three	twenty.three	ᴛᴡᴇɴᴛʏ.ᴛʜʀᴇᴇ	6			The number that is one more than twenty-two and one less than twenty-four.	二十三			二十三				
1121	0024.:twenty.four	1736	TWENTY FOUR	twenty four	twenty.four	ᴛᴡᴇɴᴛʏ.ꜰᴏᴜʀ	6			The number that comes after twenty-three and before twenty-five.	二十四			二十四				
1120	0025.:twenty.five	1738	TWENTY FIVE	twenty five	twenty.five	ᴛᴡᴇɴᴛʏ.ꜰɪᴠᴇ	6			The number that is five more than twenty.	二十五			二十五				
1125	0026.:twenty.six	3476	TWENTY SIX	twenty six	twenty.six	ᴛᴡᴇɴᴛʏ.ꜱɪx	6			The number that is one more than twenty-five and one less than twenty-seven.	二十六			二十六				
1124	0027.:twenty.seven	3477	TWENTY SEVEN	twenty seven	twenty.seven	ᴛᴡᴇɴᴛʏ.ꜱᴇᴠᴇɴ	6			The number that is one more than twenty-six and one less than twenty-eight.	二十七			二十七				
1119	0028.:twenty.eight	3478	TWENTY EIGHT	twenty eight	twenty.eight	ᴛᴡᴇɴᴛʏ.ᴇɪɢʜᴛ	6			The number that is one more than twenty-seven and one less than twenty-nine.	二十八			二十八				
1122	0029.:twenty.nine	3479	TWENTY NINE	twenty nine	twenty.nine	ᴛᴡᴇɴᴛʏ.ɴɪɴᴇ	6			The number that is one more than twenty-eight and one less than thirty.	二十九			二十九				
777	0030.:thirty	1715	THIRTY	thirty	thirty	ᴛʜɪʀᴛʏ	5		numbers	The number that comes after twenty-nine and before thirty-one.	三十			三十	သုံးဆယ်		thirty (30)	
1059	0031.:thirty.one	3480	THIRTY ONE	thirty one	thirty.one	ᴛʜɪʀᴛʏ.ᴏɴᴇ	6			The number that is one more than thirty.	三十一			三十一				
1063	0032.:thirty.two	3481	THIRTY TWO	thirty two	thirty.two	ᴛʜɪʀᴛʏ.ᴛᴡᴏ	6			The number that is one more than thirty-one.	三十二			三十二				
1062	0033.:thirty.three	3482	THIRTY THREE	thirty three	thirty.three	ᴛʜɪʀᴛʏ.ᴛʜʀᴇᴇ	6			The number that is one more than thirty-two and one less than thirty-four.	三十三			三十三				
1057	0034.:thirty.four	3483	THIRTY FOUR	thirty four	thirty.four	ᴛʜɪʀᴛʏ.ꜰᴏᴜʀ	6			The number that is one more than thirty-three and one less than thirty-five.	三十四			三十四				
1056	0035.:thirty.five	3484	THIRTY FIVE	thirty five	thirty.five	ᴛʜɪʀᴛʏ.ꜰɪᴠᴇ	6			The number that is one more than thirty-four and one less than thirty-six.	三十五			三十五				
1061	0036.:thirty.six	3485	THIRTY SIX	thirty six	thirty.six	ᴛʜɪʀᴛʏ.ꜱɪx	6			The number that is one more than thirty-five and one less than thirty-seven.	三十六			三十六				
1060	0037.:thirty.seven	3486	THIRTY SEVEN	thirty seven	thirty.seven	ᴛʜɪʀᴛʏ.ꜱᴇᴠᴇɴ	6			The number that is one more than thirty-six and one less than thirty-eight.	三十七			三十七				
1055	0038.:thirty.eight	3487	THIRTY EIGHT	thirty eight	thirty.eight	ᴛʜɪʀᴛʏ.ᴇɪɢʜᴛ	6			The number that is three times ten plus eight.	三十八			三十八				
1058	0039.:thirty.nine	3488	THIRTY NINE	thirty nine	thirty.nine	ᴛʜɪʀᴛʏ.ɴɪɴᴇ	6			The number that is one less than forty.	三十九			三十九				
603	0040.:forty	1716	FORTY	forty	forty	ꜰᴏʀᴛʏ	5		numbers	The number that comes after thirty and before fifty.	四十			四十	လေးဆယ်		forty (40)	
1452	0041.:forty.one	3556	FORTY ONE	forty one	forty.one	ꜰᴏʀᴛʏ.ᴏɴᴇ	7			The number that is one more than forty.	四十一			四十一				
1456	0042.:forty.two	3557	FORTY TWO	forty two	forty.two	ꜰᴏʀᴛʏ.ᴛᴡᴏ	7			The number that is the sum of forty and two.	四十二			四十二				
1455	0043.:forty.three	3489	FORTY THREE	forty three	forty.three	ꜰᴏʀᴛʏ.ᴛʜʀᴇᴇ	7			The number that is one more than forty-two and one less than forty-four.	四十三			四十三				
1450	0044.:forty.four	3490	FORTY FOUR	forty four	forty.four	ꜰᴏʀᴛʏ.ꜰᴏᴜʀ	7			The number that is one more than forty-three and one less than forty-five.	四十四			四十四				
1449	0045.:forty.five	3491	FORTY FIVE	forty five	forty.five	ꜰᴏʀᴛʏ.ꜰɪᴠᴇ	7			The number that is one more than forty and one less than forty-six.	四十五			四十五				
1454	0046.:forty.six	3558	FORTY SIX	forty six	forty.six	ꜰᴏʀᴛʏ.ꜱɪx	7			The number that is one more than forty-five and one less than forty-seven.	四十六			四十六				
1453	0047.:forty.seven	3559	FORTY SEVEN	forty seven	forty.seven	ꜰᴏʀᴛʏ.ꜱᴇᴠᴇɴ	7			The number that is one more than forty-six and one less than forty-eight.	四十七			四十七				
1448	0048.:forty.eight	3492	FORTY EIGHT	forty eight	forty.eight	ꜰᴏʀᴛʏ.ᴇɪɢʜᴛ	7			The number that is the result of adding eight to forty.	四十八			四十八				
1451	0049.:forty.nine	3560	FORTY NINE	forty nine	forty.nine	ꜰᴏʀᴛʏ.ɴɪɴᴇ	7			The number that is one less than fifty.	四十九			四十九				
590	0050.:fifty	1717	FIFTY	fifty	fifty	ꜰɪꜰᴛʏ	5		numbers	The number that comes after forty-nine and before fifty-one.	五十			五十	ငါးဆယ်		fifty (50)	
1053	0060.:sixty	1718	SIXTY	sixty	sixty	ꜱɪxᴛʏ	6			The number that comes after fifty-nine and before sixty-one.	六十			六十	ခြောက်ဆယ်			
1052	0070.:seventy	1721	SEVENTY	seventy	seventy	ꜱᴇᴠᴇɴᴛʏ	6			The number that comes after sixty-nine and before eighty.	七十			七十	ခုနစ်ဆယ်			
1020	0080.:eighty	1722	EIGHTY	eighty	eighty	ᴇɪɢʜᴛʏ	6			The number that comes after seventy and before ninety.	八十			八十	ရှစ်ဆယ်			
1049	0090.:ninety	1724	NINETY	ninety	ninety	ɴɪɴᴇᴛʏ	6			The number that comes after eighty-nine and before ninety-one.	九十			九十	ကိုးဆယ်			
157	0100.:hundred	1634	HUNDRED	hundred	hundred	ʜᴜɴᴅʀᴇᴅ	3		numbers	The number that comes after ninety-nine and before one hundred and one.	百	सौ	শত	百	တစ်ရာ		hundred (persons)	hundred
982	0200.:two.hundred	2676	TWO HUNDRED	two hundred	two.hundred	ᴛᴡᴏ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that is equal to one hundred multiplied by two.	二百			二百			two hundred (200)	
780	0300.:three.hundred	3513	THREE HUNDRED	three hundred	three.hundred	ᴛʜʀᴇᴇ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that is equal to three times one hundred.	三百			三百				
604	0400.:four.hundred	3515	FOUR HUNDRED	four hundred	four.hundred	ꜰᴏᴜʀ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that represents the product of four and one hundred.	四百			四百				
595	0500.:five.hundred	3516	FIVE HUNDRED	five hundred	five.hundred	ꜰɪᴠᴇ.ʜᴜɴᴅʀᴇᴅ	5		numbers	The number that represents five groups of one hundred.	五百			五百			five hundred (500)	
31	1.du	2634	WE TWO	1 du	1.du	1.ᴅᴜ	2		pronouns	The speaker and one other person.	二人			我們兩人				
506	1.du.excl	2636	WE TWO (EXCLUSIVE)	1 du excl	1.du.excl	1.ᴅᴜ.ᴇxᴄʟ	5		pronouns	The speaker and one other person, but not the person being spoken to.	我ら			我們兩人（不含聽話人）				
507	1.du.incl	2637	WE TWO (INCLUSIVE)	1 du incl	1.du.incl	1.ᴅᴜ.ɪɴᴄʟ	5		pronouns	A group of people that includes the speaker and one or more other people.	私たち二人（相手を含む）			我們兩人（含聽話人）				
1130	1.n.sg	1212	WE	1 n sg	1.n.sg	1.ɴ.ꜱɢ	7		pronouns	The number one used to refer to a single person or thing.	わたしたち			一個			we (1p)	
32	1.n.sg.excl	1130	WE (EXCLUSIVE)	1 n sg excl	1.n.sg.excl	1.ɴ.ꜱɢ.ᴇxᴄʟ	2		pronouns	The speaker and one other person, but not the person being spoken to.	私たち（相手を含まない）			我們（不含聽話人）	ကျွန်တော်တို့ (သင်မပါဘဲ)			
33	1.n.sg.incl	1131	WE (INCLUSIVE)	1 n sg incl	1.n.sg.incl	1.ɴ.ꜱɢ.ɪɴᴄʟ	2		pronouns	A group of people that includes the speaker and one or more other people.	私たち（相手を含む）			我們（含聽話人）	ကျွန်တော်တို့ (သင်လည်းပါ)			
34	1.sg	1209	I	1 sg	1.sg	1.ꜱɢ	2		pronouns	The person who is speaking.	わたし			我			I (1s)	I
1006	1.sg.poss			1 sg poss	1.sg.poss	1.ꜱɢ.ᴘᴏꜱꜱ	6			A marker used to show that a person, object, or idea belongs to the speaker.	私の			我的				
221	1000.:thousand	1843	THOUSAND	thousand	thousand	ᴛʜᴏᴜꜱᴀɴᴅ	3		numbers	The number 1,000.	千	हजार	হাজাৰ	千	တစ်ထောင်		thousand (persons)	
1981	10000.:ten.thousand	2078	TEN THOUSAND	ten thousand	ten.thousand	ᴛᴇɴ.ᴛʜᴏᴜꜱᴀɴᴅ	7			The number that represents a unit of ten thousand (10,000).	万			萬				
1542	100000.:hundred.thousand	3532	ONE HUNDRED THOUSAND	hundred thousand	hundred.thousand	ʜᴜɴᴅʀᴇᴅ.ᴛʜᴏᴜꜱᴀɴᴅ	7			The number consisting of a one followed by five zeros (100,000).	十万			十萬				
2814	2.du						7											
35	2.n.sg	1213	YOU	2 n sg	2.n.sg	2.ɴ.ꜱɢ	2		pronouns	The person or people being spoken to.	おまえたち			你們	သင်တို့		you (2p)	
36	2.sg	1215	THOU	2 sg	2.sg	2.ꜱɢ	2		pronouns	A person being spoken to, who is not the speaker.	おまえ			你			you (2s)	thou
1131	2.sg.f	2105	FEMALE PERSON	2 sg f	2.sg.f	2.ꜱɢ.ꜰ	7			The person being spoken to, who is female and is not the speaker.	あなた			妳				
1132	2.sg.hon	3292	THOU (HONORIFIC)	2 sg hon	2.sg.hon	2.ꜱɢ.ʜᴏɴ	7			A person being spoken to who is of higher social status, age, or rank than the speaker.	貴方			您				
1133	2.sg.m	2106	MALE PERSON	2 sg m	2.sg.m	2.ꜱɢ.ᴍ	7			A person to whom the speaker is talking, who is male.	君			你（男性）				
1128	2000.:two.thousand	3524	TWO THOUSAND	two thousand	two.thousand	ᴛᴡᴏ.ᴛʜᴏᴜꜱᴀɴᴅ	6			The number that is equal to two times one thousand.	二千			兩千				
2815	3.du						7											
37	3.n.sg	817	THEY	3 n sg	3.n.sg	3.ɴ.ꜱɢ	2		pronouns	A group of people or things that does not include the speaker or the listener.	彼ら，彼女ら			他們	သူတို့		they (3p)	
38	3.sg	262	HE OR SHE OR IT	3 sg	3.sg	3.ꜱɢ	2		pronouns	A person or thing that is not the speaker or the listener.	彼，彼女			他／她				
1134	3.sg.f	1834	SHE	3 sg f	3.sg.f	3.ꜱɢ.ꜰ	7			A third person of the female gender.	彼女			她				
1135	3.sg.m	1211	HE	3 sg m	3.sg.m	3.ꜱɢ.ᴍ	7			A male person or animal that is not the speaker or the listener.	彼			他（男性）				
1064	abandon:to	1097	ABANDON	to abandon	abandon	ᴀʙᴀɴᴅᴏɴ	6			To leave someone or something behind permanently, often in a way that results in neglect or a lack of care.	見捨てる			遺棄				
1599	abdomen:lower			lower abdomen	lower.abdomen	ʟᴏᴡᴇʀ.ᴀʙᴅᴏᴍᴇɴ	7			The part of the belly located below the navel and above the pelvic area.	下腹部			小腹				
2716	abdomen:upper			upper abdomen	upper.abdomen	ᴜᴘᴘᴇʀ.ᴀʙᴅᴏᴍᴇɴ	7			The part of the belly located between the chest and the navel.	上腹部			上腹部				
2019	able:to.be	972	BE ABLE	to be able	able	ᴀʙʟᴇ	7			To have the power, skill, or opportunity to perform an action.	できる			能夠				
229	above:to.be	1741	ABOVE	to be above	above	ᴀʙᴏᴠᴇ	3			To be in a higher position or at a higher level than something else, without necessarily touching it.	上にある	ऊपर	উপৰ	上面	အထက်တွင်ရှိသည်		over, above	
1007	abscess	793	BOIL (OF SKIN)	abscess	abscess	ᴀʙꜱᴄᴇꜱꜱ	6			A painful swelling on or under the skin that is filled with pus.	膿瘍			膿腫	ပြည်တည်နာ			
1065	abstain:to			to abstain	abstain	ᴀʙꜱᴛᴀɪɴ	6			To refrain from doing something, such as eating certain foods or engaging in specific behaviors.	控える			戒				
2020	abundant:to.be	4082	ABUNDANCE	to be abundant	abundant	ᴀʙᴜɴᴅᴀɴᴛ	7			To exist in large quantities or to be present in a very high number.	豊富である			豐富				
101	accipitridae..raptor:::	2683	EAGLE OR HAWK	Accipitridae (raptor)	raptor	ʀᴀᴘᴛᴏʀ	3		fauna	A bird of prey with large, strong wings and a hooked beak, used for hunting other animals.	鷹	चील		鷹	သိမ်းငှက်			
1066	accompany..someone:to	1542	ACCOMPANY	to accompany (someone)	accompany	ᴀᴄᴄᴏᴍᴘᴀɴʏ	6			To go somewhere together with another person, moving from one place to another at the same time.	連れて行く			陪同				
1008	account..report			account (report)	account	ᴀᴄᴄᴏᴜɴᴛ	6			A spoken or written description of an event or series of events that happened.	報告			敘述				
1067	accumulate..of.things:to			to accumulate (of things)	accumulate	ᴀᴄᴄᴜᴍᴜʟᴀᴛᴇ	6			To gradually increase in quantity or number over time, such as objects or substances being gathered together into a pile or mass.	蓄積する			堆積（逐漸增多）	စုပုံလာသည်			
1068	accumulate..something:to			to accumulate (something)	accumulate	ᴀᴄᴄᴜᴍᴜʟᴀᴛᴇ	6			To gradually increase in quantity or amount over time, often by collecting or gathering many items together.	ためる			累積	စုဆောင်းသည်			
1069	accuse:to	1814	ACCUSE	to accuse	accuse	ᴀᴄᴄᴜꜱᴇ	6			To state that someone has done something wrong, illegal, or bad.	責める			控告	စွပ်စွဲသည်			
1009	acquaintance			acquaintance	acquaintance	ᴀᴄꞯᴜᴀɪɴᴛᴀɴᴄᴇ	6			A person whom one knows slightly, but who is not a close friend.	知人			熟人	အသိအကျွမ်း			
1070	add.to:to	2882	ADD	to add to	add.to	ᴀᴅᴅ.ᴛᴏ	6			To put more of something into a group, a pile, or a container to increase the total amount.	足す			添加				
2008	administer:to	3073	MANAGE	to administer	administer	ᴀᴅᴍɪɴɪꜱᴛᴇʀ	7			To manage, control, or supervise the operations of an organization, government, or group of people.	運営する			管理	စီမံခန့်ခွဲသည်			
1071	admire:to	385	RESPECT (SOMEBODY)	to admire	admire	ᴀᴅᴍɪʀᴇ	6			To regard someone or something with great respect, pleasure, or approval.	賞賛する			欽佩	ချီးကျူးသည်			
1072	admit.fault:to	2022	ADMIT	to admit fault	admit.fault	ᴀᴅᴍɪᴛ.ꜰᴀᴜʟᴛ	6			To acknowledge that one has done something wrong or is responsible for a mistake.	過ちを認める			認錯				
508	adolescent	–	–	adolescent	adolescent	ᴀᴅᴏʟᴇꜱᴄᴇɴᴛ	5			A person who is in the stage of development between childhood and adulthood.	思春期の人	किशोरावस्था		青少年的	ဆယ်ကျော်သက်			
2009	adopt..someone:to			to adopt (someone)	adopt	ᴀᴅᴏᴘᴛ	7			To take a person, such as a child, into one's family as one's own, making them a legal member of the household.	養子にする			收養	မွေးစားသည်			
1010	adult..human	3635	ADULT	adult (human)	adult	ᴀᴅᴜʟᴛ	6			A human being who has reached full physical and mental maturity.	大人			成年人				
1011	adultery	902	ADULTERY	adultery	adultery	ᴀᴅᴜʟᴛᴇʀʏ	6			The act of having sexual intercourse with a person other than one's legal spouse or partner.	不倫			通姦				
1073	advise:to			to advise	advise	ᴀᴅᴠɪꜱᴇ	6			To give a suggestion or a recommendation about what someone should do in a specific situation.	助言する			建議	အကြံပြုသည်			
790	afraid:to.be	1419	FEAR (BE AFRAID)	to be afraid	afraid	ᴀꜰʀᴀɪᴅ	5			To experience a feeling of fear, alarm, or anxiety in response to a perceived danger or threat.	怖がる			害怕				
1137	after..in.time	1685	AFTER	after (in time)	after	ᴀꜰᴛᴇʀ	7			To occur or exist at a later time than a specific event or moment.	後で			之後				
356	afternoon	1807	AFTERNOON	afternoon	afternoon	ᴀꜰᴛᴇʀɴᴏᴏɴ	4			The period of time from midday until the sun begins to set or evening begins.	午後	दोपहर	বিলাস	下午	နေ့လည်		afternoon	
1138	again	204	AGAIN	again	again	ᴀɢᴀɪɴ	7			An occurrence of an event or action that has happened before.	また			再次	ထပ်		again	
783	age..grow.old:to	–	–	to age (grow old)	age	ᴀɢᴇ	5			To undergo the natural process of growing older or becoming an elderly person.	年をとる	बूढ़ा होना		變老	အိုသည်			
509	age..of.person	1789	AGE	age (of person)	age	ᴀɢᴇ	5			The number of years a person has lived from their birth until the present time.	年齢	उम्र	বয়স	年齡	အသက်အရွယ်			
510	age..of.thing	1789	AGE	age (of thing)	age	ᴀɢᴇ	5			The length of time that an object or living thing has existed.	寿命			年歲	သက်တမ်း			
2010	agree:to	3643	AGREE	to agree	agree	ᴀɢʀᴇᴇ	7			To express a shared opinion or to say yes to a suggestion or a proposal.	賛成する			同意	သဘောတူသည်			
1012	agreement	3644	AGREEMENT	agreement	agreement	ᴀɢʀᴇᴇᴍᴇɴᴛ	6			A formal arrangement or a shared decision between two or more people or groups.	合意			協議				
1013	air	27	AIR	air	air	ᴀɪʀ	6			The invisible mixture of gases that surrounds the Earth and is necessary for breathing.	空気			空氣	လေ			
1139	airplane	1597	AIRPLANE	airplane	airplane	ᴀɪʀᴘʟᴀɴᴇ	7			A fixed-wing vehicle that flies through the air using engines and is used for transporting people or goods.	飛行機			飛機				
45	alcohol:brewed	404	ALCOHOL (FERMENTED DRINK)	brewed alcohol	brewed.alcohol	ʙʀᴇᴡᴇᴅ.ᴀʟᴄᴏʜᴏʟ	2			A liquid drink produced by the fermentation of grains, fruit, or sugar.	醸造酒	सुराही दार शराब	জলকীয় দ্রব	釀造酒	အချဉ်ဖောက်အရက်			
121	alcohol:distilled	842	LIQUOR	distilled alcohol	distilled.alcohol	ᴅɪꜱᴛɪʟʟᴇᴅ.ᴀʟᴄᴏʜᴏʟ	3			A liquid produced through a process of heating and cooling, often used as a strong alcoholic drink.	蒸留酒	अर्क	মদ	蒸餾酒	ပေါင်းခံအရက်			liquor
2690	alcohol:traditional	404	ALCOHOL (FERMENTED DRINK)	traditional alcohol	traditional.alcohol	ᴛʀᴀᴅɪᴛɪᴏɴᴀʟ.ᴀʟᴄᴏʜᴏʟ	7			An alcoholic beverage made through traditional methods of fermentation, often using local ingredients like rice, grain, or fruit.	地酒			傳統釀酒				
1140	alcohol..from.rice	404	ALCOHOL (FERMENTED DRINK)	alcohol (from rice)	alcohol	ᴀʟᴄᴏʜᴏʟ	7			A liquid made by fermenting grains, such as rice, that is used for drinking.	日本酒			米酒				
1141	alcohol..general	404	ALCOHOL (FERMENTED DRINK)	alcohol (general)	alcohol	ᴀʟᴄᴏʜᴏʟ	7			A liquid that causes intoxication when swallowed and is often found in fermented or distilled drinks.	酒			酒精	အရက်			
1142	alcohol..imported	404	ALCOHOL (FERMENTED DRINK)	alcohol (imported)	alcohol	ᴀʟᴄᴏʜᴏʟ	7			A liquid drink that contains ethanol and is produced outside of the local area or country.	輸入酒			進口酒				
1014	alert..warning			alert (warning)	alert	ᴀʟᴇʀᴛ	6			A sign or sound that a danger or an important event is about to happen.	警告			警報				
1074	alight:to			to alight	alight	ᴀʟɪɢʜᴛ	6			To descend from a vehicle, a bird, or an animal and settle on a surface or the ground.	降り立つ			降落				
230	alive:to.be	1422	BE ALIVE	to be alive	alive	ᴀʟɪᴠᴇ	3			To possess life; to not be dead.	生きている	जीवित	জিৱন থাকিব	活着	အသက်ရှင်သည်		(be) alive	alive
511	all	98	ALL	all	all	ᴀʟʟ	5			The entire amount or every single member of a group or collection.	全部	सब	সমগ্ৰ	所有	အားလုံး		everything	
1015	all..for.items	98	ALL	all (for items)	all	ᴀʟʟ	6			The entire group or every single individual member of a set of things.	すべて			全部				
1075	allow:to	3237	ALLOW OR PERMIT	to allow	allow	ᴀʟʟᴏᴡ	6			To give permission for something to happen or to let someone do something.	許可する			允許	ခွင့်ပြုသည်			
2021	alone:to.be	1964	ALONE	to be alone	alone	ᴀʟᴏɴᴇ	7			To be in a state where no other people are present.	一人で			獨自一人			(be) alone	
1143	already	2576	ALREADY	already	already	ᴀʟʀᴇᴀᴅʏ	7			An indication that an action or state has been completed or has occurred prior to the present moment.	もう			已經				
1016	always	1676	ALWAYS	always	always	ᴀʟᴡᴀʏꜱ	6			At all times or on every occasion without exception.	いつも			總是	အမြဲတမ်း		always	
357	amber	–	–	amber	amber	ᴀᴍʙᴇʀ	4			A hard, yellowish-brown fossilized resin from a tree that is often used as a gemstone or ornament.	琥珀	अंबर	বাঁশফুলীয়া	琥珀	ပယင်း			
1017	amulet	2804	AMULET	amulet	amulet	ᴀᴍᴜʟᴇᴛ	6			An object believed to have magical powers to protect the wearer or a place from evil or bad luck.	お守り			護身符	အဆောင်			
2022	amusing..funny:to.be	4038	FUNNY	to be amusing (funny)	amusing	ᴀᴍᴜꜱɪɴɢ	7			To cause laughter or provide entertainment through humor.	面白い			有趣				
1018	ancestor..forefather	1669	ANCESTORS	ancestor (forefather)	ancestor	ᴀɴᴄᴇꜱᴛᴏʀ	6			A person from whom one is descended, such as a great-grandparent or a person living many generations ago in a family line.	祖先の一人			祖先（單一先人）	ဘိုးဘေးဘီဘင်			
512	ancestors..general	1669	ANCESTORS	ancestors (general)	ancestors	ᴀɴᴄᴇꜱᴛᴏʀꜱ	5			The people in a person's family line who lived in the past, especially those who are now deceased.	先祖	पूर्वज	পূৰ্বজ	歷代祖先	ဘိုးဘေး			
1144	and..conj	1577	AND	and (conj)	and	ᴀɴᴅ	7			A word used to connect two or more words, phrases, or sentences that are of equal importance or part of a list.	と			和	နှင့်			
438	angry:to.be	1826	ANGRY	to be angry	angry	ᴀɴɢʀʏ	4			To feel strong displeasure, hostility, or irritation toward a person or a situation.	怒る	गुस्सा	ৰাগী	生氣	စိတ်ဆိုးသည်		to be angry	
587	animal..affix:female	3923	FEMALE ANIMAL	female animal (affix)	female.animal	ꜰᴇᴍᴀʟᴇ.ᴀɴɪᴍᴀʟ	5			A female of any species of animal.	雌（接辞）	मादा		女性	အမ			
653	animal..affix:male	3924	MALE ANIMAL	male animal (affix)	male.animal	ᴍᴀʟᴇ.ᴀɴɪᴍᴀʟ	5			A non-female animal of the same species.	雄（接辞）			雄性（動物詞綴）				
102	animal..general	619	ANIMAL	animal (general)	animal	ᴀɴɪᴍᴀʟ	3		fauna	A living creature that is not a human or a plant.	動物	जानवर	পশু	動物	တိရစ္ဆာန်		animal (tame/wild)	meat/animal
1021	animal..term:female	3923	FEMALE ANIMAL	female animal (term)	female.animal	ꜰᴇᴍᴀʟᴇ.ᴀɴɪᴍᴀʟ	6			A female of any species of animal.	雌の動物			雌性				
1047	animal..term:male	3924	MALE ANIMAL	male animal (term)	male.animal	ᴍᴀʟᴇ.ᴀɴɪᴍᴀʟ	6			A non-female animal of the same species.	雄の動物			雄性動物				
1076	announce:to	9	ANNOUNCE	to announce	announce	ᴀɴɴᴏᴜɴᴄᴇ	6			To make a formal or public statement about something so that many people hear it.	発表する			宣布	ကြေညာသည်			
